1,1,Logueo,2023-11-28 00:00:00,
2,9,Logueo,2023-11-28 00:00:00,
3,9,Traer Usuarios,2023-11-28 00:00:00,
4,1,Logueo,2023-11-28 00:00:00,
5,1,Traer Cuentas,2023-11-28 00:00:00,
6,1,Traer Cuenta,2023-11-28 00:00:00,
7,9,Logueo,2023-11-28 00:00:00,
8,9,Baja Cuenta,2023-11-28 00:00:00,
9,9,Baja Cuenta,2023-11-28 00:00:00,
10,1,Consultar Cuenta,2023-11-28 00:00:00,
11,1,Total depositado por tipo cuenta y fecha,2023-11-28 00:00:00,
12,1,Depositos por usuario,2023-11-28 00:00:00,
13,1,Depositos por usuario,2023-11-28 00:00:00,
14,1,Depositos por tipo cuenta,2023-11-28 00:00:00,
15,1,Depositos entre fechas sort nombre,2023-11-28 00:00:00,
16,1,Depositos por moneda,2023-11-28 00:00:00,
17,1,Retiros por moneda,2023-11-28 00:00:00,
18,1,Retiros por tipo cuenta,2023-11-28 00:00:00,
19,1,Retiros y depositos por usuario,2023-11-28 00:00:00,
20,1,Retiros y depositos por usuario,2023-11-28 00:00:00,
21,1,Logueo,2023-11-28 00:00:00,
22,1,Traer Depositos,2023-11-28 00:00:00,
23,5,Logueo,2023-11-28 00:00:00,
24,1,Traer Depositos,2023-11-28 00:00:00,
